feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
ix_verticalmax_xymean_ratio,0.0019825097830440397,0.0005354326053826908,0.0006566081174201877,0.0008327196638480139,0.0009118934542253765,0.0009838327247840618,0.0005773874118112522,1.0
ix_speed_alt_cv_ratio,0.000919313436450131,0.0006889587335895397,0.0009094343887169343,0.0005921159372827001,0.001771787248634471,0.0009763219489347553,0.000466551400211456,1.0
rv_max,0.0014002745030015085,0.0008812406726351751,0.000645801831657522,0.0009348543845659751,0.0006551606284396216,0.0009034664040599605,0.0003067345210883823,1.0
energy_vertical_std,0.0010500082781987885,0.0009153286214410583,0.0005985836142557988,0.001096040492696404,0.0008367369130366509,0.0008993395839257401,0.0001974975948969828,1.0
speed_p90,0.0019427022327498378,0.00015688453167028715,0.0017841619581074886,0.0002002302796549893,0.00034107321641396737,0.000885010443719314,0.0008975166141290863,1.0
energy_total_std,0.0010909792632525228,0.0005477853271070865,0.0012281611023531314,0.00033288418645305295,0.0012180432033367383,0.0008835706165005064,0.00041522288166838877,1.0
hd_heading_acf1_sin,0.00060484758204149,0.000868046430339886,0.001168543744305084,0.0006409724214194723,0.0011345636756595612,0.0008833947707530987,0.00026504172278090364,1.0
curvature_speed_product,0.001523321696015989,0.0006442761516184392,0.0007682901122265662,0.0009877306978893774,0.0003873711144989356,0.0008621979544498615,0.00042854760361480315,1.0
curv_iqr,0.00012500888934274812,0.0018131587855445552,0.0009434913862903516,0.000898797658467898,0.0004913851350953902,0.0008543683709481886,0.0006310542796568664,1.0
speed_mean,0.0009752495105884718,0.0011012066180330349,0.0006446094468138819,0.0003625743580307761,0.001143239386289241,0.0008453758639510811,0.00033333304109169575,1.0
ix_curv_alt_ratio,0.001033591907671605,0.000915207771868598,0.000402846516999511,0.0007220176455032812,0.001151339033987675,0.0008450005752061341,0.0002936681820779348,1.0
ix_heading_speed_alignment,0.0014360171894612916,0.00020672955415912408,0.0017199757803565419,0.0001313417251422866,0.0007120610670015015,0.0008412250632241491,0.0007157483389649837,1.0
alt_p10,0.00034975273747606117,0.0010802430801346574,0.00012128692779833639,0.0010121860153382567,0.0013829524827059236,0.0007892842486906471,0.000530611105546847,1.0
abs_rv_max,0.00043026498439135974,0.0007734006940333105,0.0004411476451147145,0.0015922168161295325,0.00046283939247504513,0.0007399739064287925,0.0004973569183518158,1.0
ix_speed_spread_ratio,0.0006253645372226169,0.0006656556394759594,0.00037749583808788234,0.0014776122401958247,0.00029880397544290727,0.0006889864460850381,0.000467918656453243,1.0
energy_vertical_max,0.0007590261765968442,0.00043844369486556456,0.0006959902158394371,0.0005217208185805955,0.0009929976640897786,0.000681635713994444,0.00021671221200904002,1.0
ix_turn_per_length,0.0008765549228986202,0.00055722018764226,0.00114186488820045,0.0006078823792987631,0.00022274512052478102,0.0006812534997129749,0.0003468800277843015,1.0
turn_p50,0.0009974822082554624,0.0005791241025722149,0.0007448210345178952,0.001031855883187216,2.6019472873839433e-05,0.0006758605402813256,0.00040822177872954364,1.0
ix_speed_peak_vs_median,0.00019024891148589074,0.0005591294048419293,0.0010976500941229927,0.0007532945444634898,0.0005348807980197767,0.0006270407505868158,0.0003321542161161792,1.0
rv_min,0.0010832111804709443,0.000286839535383554,0.0004504992766076743,0.0008997465263523852,0.00040889560768120337,0.0006258384252991522,0.00034530556596292324,1.0
