iter	Passed	Remaining
1198	14213	45059
1199	14224	45043
1200	14236	45032
1201	14247	45019
1202	14259	45006
1203	14270	44993
1204	14282	44979
1205	14294	44969
1206	14306	44958
1207	14317	44945
1208	14329	44933
1209	14341	44921
1210	14353	44908
1211	14365	44896
1212	14377	44887
1213	14389	44874
1214	14401	44864
1215	14413	44852
1216	14424	44839
1217	14436	44827
1218	14448	44816
1219	14460	44803
1220	14472	44791
1221	14484	44780
1222	14496	44769
1223	14508	44758
1224	14520	44745
1225	14531	44733
1226	14543	44720
1227	14554	44707
1228	14566	44695
1229	14577	44681
1230	14589	44670
1231	14601	44658
1232	14613	44646
1233	14625	44634
1234	14637	44623
1235	14649	44611
1236	14659	44595
1237	14671	44582
1238	14683	44571
1239	14693	44555
1240	14705	44543
1241	14717	44532
1242	14729	44519
1243	14740	44505
1244	14752	44493
1245	14764	44481
1246	14775	44467
1247	14786	44454
1248	14798	44443
1249	14811	44433
1250	14822	44421
1251	14834	44407
1252	14846	44396
1253	14857	44383
1254	14869	44371
1255	14880	44358
1256	14891	44343
1257	14902	44329
1258	14914	44318
1259	14926	44306
1260	14938	44292
1261	14949	44280
1262	14961	44267
1263	14972	44254
1264	14984	44243
1265	14996	44232
1266	15008	44220
1267	15020	44207
1268	15030	44192
1269	15043	44183
1270	15055	44171
1271	15066	44157
1272	15078	44144
1273	15090	44135
1274	15103	44124
1275	15114	44111
1276	15126	44098
1277	15137	44084
1278	15149	44073
1279	15159	44058
1280	15171	44045
1281	15182	44031
1282	15193	44018
1283	15205	44006
1284	15216	43991
1285	15227	43977
1286	15239	43964
1287	15250	43951
1288	15261	43937
1289	15272	43923
1290	15283	43909
1291	15294	43895
1292	15306	43884
1293	15318	43872
1294	15329	43859
1295	15341	43847
1296	15352	43832
1297	15363	43819
1298	15375	43807
1299	15386	43792
1300	15397	43777
1301	15409	43765
1302	15420	43752
1303	15432	43740
1304	15443	43726
1305	15454	43713
1306	15465	43699
1307	15476	43684
1308	15488	43673
1309	15501	43664
1310	15513	43652
1311	15525	43641
1312	15537	43629
1313	15548	43616
1314	15560	43604
1315	15571	43591
1316	15583	43579
1317	15594	43564
1318	15605	43552
1319	15617	43539
1320	15629	43527
1321	15641	43516
1322	15652	43504
1323	15663	43488
1324	15675	43477
1325	15688	43467
1326	15699	43454
1327	15710	43441
1328	15721	43426
1329	15733	43414
1330	15744	43400
1331	15757	43390
1332	15769	43381
1333	15782	43371
1334	15794	43361
1335	15806	43349
1336	15818	43338
1337	15828	43322
1338	15840	43310
1339	15851	43296
1340	15862	43282
1341	15873	43268
1342	15886	43257
1343	15898	43246
1344	15910	43236
1345	15922	43226
1346	15935	43216
1347	15947	43204
1348	15958	43191
1349	15969	43176
1350	15981	43165
1351	15992	43151
1352	16004	43138
1353	16017	43130
1354	16028	43117
1355	16041	43107
1356	16052	43094
1357	16064	43083
1358	16075	43069
1359	16087	43058
1360	16099	43045
1361	16109	43030
1362	16122	43021
1363	16135	43012
1364	16147	43000
1365	16159	42989
1366	16170	42976
1367	16182	42963
1368	16194	42951
1369	16205	42939
1370	16216	42924
1371	16229	42914
1372	16240	42902
1373	16252	42891
1374	16263	42877
1375	16275	42864
1376	16287	42854
1377	16299	42842
1378	16310	42829
1379	16322	42815
1380	16333	42802
1381	16345	42792
1382	16357	42779
1383	16367	42764
1384	16379	42751
1385	16391	42740
1386	16403	42729
1387	16415	42717
1388	16427	42706
1389	16439	42694
1390	16450	42680
1391	16462	42671
1392	16475	42660
1393	16486	42648
1394	16498	42634
1395	16509	42622
1396	16521	42610
1397	16532	42596
1398	16545	42587
1399	16557	42575
1400	16568	42562
1401	16580	42551
1402	16591	42538
1403	16603	42525
1404	16616	42516
1405	16628	42504
1406	16640	42494
1407	16651	42480
1408	16663	42468
1409	16674	42455
1410	16687	42446
1411	16699	42434
1412	16711	42423
1413	16723	42412
1414	16735	42400
1415	16746	42387
1416	16759	42377
1417	16770	42363
1418	16782	42351
1419	16795	42343
1420	16807	42331
1421	16818	42318
1422	16830	42306
1423	16841	42293
1424	16852	42279
1425	16864	42268
1426	16876	42256
1427	16887	42241
1428	16898	42229
1429	16911	42218
1430	16922	42206
1431	16934	42193
1432	16946	42182
1433	16957	42169
1434	16968	42154
1435	16980	42143
1436	16992	42131
1437	17003	42117
1438	17014	42105
1439	17025	42091
1440	17036	42077
1441	17048	42064
1442	17059	42052
1443	17071	42040
1444	17083	42029
1445	17095	42017
1446	17107	42005
1447	17118	41993
1448	17129	41978
1449	17140	41965
1450	17151	41950
1451	17162	41938
1452	17176	41929
1453	17188	41918
1454	17199	41905
1455	17210	41890
1456	17221	41876
1457	17231	41861
1458	17242	41847
1459	17253	41833
1460	17264	41820
1461	17276	41807
1462	17288	41796
1463	17299	41783
